matched_shisetsu_bangou	before	after	interval	after_minus_before
BR0-040002-00493	II	II	1	0
BR0-040002-00493	II	II	2	0
BR0-040002-00493	II	II	2	0
BR0-040002-00493	II	II	1	0
BR0-040002-00493	II	II	2	0
BR0-040002-00493	II	III	2	1
BR0-040002-00495	II	II	4	0
BR0-040002-00495	II	II	5	0
BR0-040002-00498	II	II	4	0
BR0-040002-00498	II	II	5	0
BR0-040002-00499	II	II	4	0
BR0-040002-00499	II	II	5	0
BR0-040002-00500	II	II	5	0
BR0-040002-00502	I	I	17	0
BR0-040002-00502	I	II	5	1
BR0-040002-00503	II	II	5	0
BR0-040002-00504	I	III	1	2
BR0-040002-00504	I	II	2	1
BR0-040002-00504	II	III	1	1
BR0-040002-00508	II	II	5	0
BR0-040002-00510	I	I	4	0
BR0-040002-00510	I	II	5	1
BR0-040002-00513	I	II	5	1
BR0-040002-00521	II	II	4	0
BR0-040002-00521	II	II	5	0
BR0-040002-00522	II	II	5	0
BR0-040002-00523	I	I	1	0
BR0-040002-00523	I	I	4	0
BR0-040002-00523	I	II	1	1
BR0-040002-00532	II	II	5	0
BR0-040002-00533	I	II	4	1
BR0-040002-00533	II	II	5	0
BR0-040002-00535	I	I	5	0
BR0-040002-00543	II	III	3	1
BR0-040002-00544	II	II	4	0
BR0-040002-00544	II	II	5	0
BR0-040002-00546	II	II	4	0
BR0-040002-00546	II	II	5	0
BR0-040002-00547	III	III	5	0
BR0-040002-00550	II	II	4	0
BR0-040002-00550	II	II	5	0
BR0-040002-00551	I	II	27	1
BR0-040002-00551	II	II	4	0
BR0-040002-00551	II	II	5	0
BR0-040002-00552	I	II	29	1
BR0-040002-00552	II	II	4	0
BR0-040002-00552	II	II	5	0
BR0-040002-00555	II	II	4	0
BR0-040002-00555	II	II	5	0
BR0-040002-00556	II	II	4	0
BR0-040002-00556	II	II	5	0
BR0-040002-00557	II	II	4	0
BR0-040002-00557	II	II	5	0
BR0-040002-00558	I	II	18	1
BR0-040002-00558	II	II	4	0
BR0-040002-00558	II	II	5	0
BR0-040002-00563	II	II	5	0
BR0-040002-00564	I	I	27	0
BR0-040002-00564	I	II	5	1
BR0-040002-00566	II	II	1	0
BR0-040002-00566	II	II	1	0
BR0-040002-00566	II	II	3	0
BR0-040002-00566	II	III	1	1
BR0-040002-00566	II	III	3	1
BR0-040002-00567	I	I	7	0
BR0-040002-00567	I	II	1	1
BR0-040002-00567	II	II	1	0
BR0-040002-00567	II	II	1	0
BR0-040002-00567	I	II	1	1
BR0-040002-00567	II	II	1	0
BR0-040002-00567	I	II	3	1
BR0-040002-00567	II	II	1	0
BR0-040002-00568	I	II	27	1
BR0-040002-00568	II	II	1	0
BR0-040002-00568	II	II	1	0
BR0-040002-00568	II	II	3	0
BR0-040002-00568	II	III	1	1
BR0-040002-00568	II	III	3	1
BR0-040002-00569	I	II	5	1
BR0-040002-00570	II	II	5	0
BR0-040002-00571	II	III	2	1
BR0-040002-00571	II	II	5	0
BR0-040002-00572	I	II	1	1
BR0-040002-00572	II	II	1	0
BR0-040002-00572	II	II	3	0
BR0-040002-00572	II	II	5	0
BR0-040002-00573	I	II	5	1
BR0-040002-00574	III	III	4	0
BR0-040002-00576	I	I	24	0
BR0-040002-00576	I	II	3	1
BR0-040002-00576	II	II	2	0
BR0-040002-00576	II	II	3	0
BR0-040002-00576	II	II	2	0
BR0-040002-00578	II	III	5	1
BR0-040002-00578	III	III	5	0
BR0-040002-00580	II	III	3	1
BR0-040002-00583	II	II	4	0
BR0-040002-00583	II	II	5	0
BR0-040002-00584	II	II	4	0
BR0-040002-00584	II	II	5	0
BR0-040002-00588	I	II	1	1
BR0-040002-00588	II	II	2	0
BR0-040002-00588	II	II	2	0
BR0-040002-00588	II	II	3	0
BR0-040002-00589	II	II	4	0
BR0-040002-00589	II	III	5	1
BR0-040002-00590	II	III	4	1
BR0-040002-00591	II	II	2	0
BR0-040002-00591	II	II	3	0
BR0-040002-00591	II	II	2	0
BR0-040002-00592	II	II	4	0
BR0-040002-00592	II	III	5	1
BR0-040002-00593	II	II	4	0
BR0-040002-00595	II	II	5	0
BR0-040002-00600	II	II	4	0
BR0-040002-00600	II	II	1	0
BR0-040002-00601	II	II	4	0
BR0-040002-00608	I	II	24	1
BR0-040002-00608	II	II	1	0
BR0-040002-00608	II	III	3	1
BR0-040002-00608	II	II	1	0
BR0-040002-00608	II	II	4	0
BR0-040002-00610	I	II	24	1
BR0-040002-00610	II	II	1	0
BR0-040002-00610	II	III	3	1
BR0-040002-00610	II	II	1	0
BR0-040002-00610	II	II	4	0
BR0-040002-00612	I	II	3	1
BR0-040002-00612	II	II	2	0
BR0-040002-00619	I	II	16	1
BR0-040002-00619	II	II	4	0
BR0-040002-00619	II	II	5	0
BR0-040002-00621	II	II	4	0
BR0-040002-00621	II	II	1	0
BR0-040002-00622	II	II	4	0
BR0-040002-00623	I	III	22	2
BR0-040002-00623	III	III	1	0
BR0-040002-00624	II	II	4	0
BR0-040002-00628	II	II	5	0
BR0-040002-00631	I	II	20	1
BR0-040002-00631	II	II	4	0
BR0-040002-00631	II	II	5	0
BR0-040002-00634	II	II	1	0
BR0-040002-00634	II	II	2	0
BR0-040002-00634	II	II	1	0
BR0-040002-00634	II	II	4	0
BR0-040002-00634	II	II	1	0
BR0-040002-00635	II	III	1	1
BR0-040002-00635	II	II	1	0
BR0-040002-00635	II	III	2	1
BR0-040002-00635	II	III	1	1
BR0-040002-00636	I	II	1	1
BR0-040002-00636	II	II	5	0
BR0-040002-00642	I	II	5	1
BR0-040002-00643	II	II	5	0
BR0-040002-00651	II	II	4	0
BR0-040002-00651	II	II	5	0
BR0-040002-00652	I	II	23	1
BR0-040002-00652	II	II	4	0
BR0-040002-00652	II	II	5	0
BR0-040002-00653	III	III	4	0
BR0-040002-00655	III	III	4	0
BR0-040002-00656	II	II	5	0
BR0-040002-00659	I	I	5	0
BR0-040002-00660	II	II	4	0
BR0-040002-00660	II	II	5	0
BR0-040002-00661	I	II	21	1
BR0-040002-00661	II	II	4	0
BR0-040002-00663	II	II	4	0
BR0-040002-00665	II	II	5	0
BR0-040002-00666	I	II	5	1
BR0-040002-00667	II	II	4	0
BR0-040002-00669	I	II	22	1
BR0-040002-00669	II	II	4	0
BR0-040002-00673	I	II	22	1
BR0-040002-00673	II	II	4	0
BR0-040002-00674	II	II	5	0
BR0-040002-00675	II	II	4	0
BR0-040002-00676	III	III	4	0
BR0-040002-00678	I	I	5	0
BR0-040002-00679	I	II	20	1
BR0-040002-00679	II	II	4	0
BR0-040002-00682	I	I	23	0
BR0-040002-00682	I	II	5	1
BR0-040002-00683	II	III	1	1
BR0-040002-00687	II	II	5	0
BR0-040002-00688	II	II	5	0
BR0-040002-00690	II	II	5	0
BR0-040002-00694	II	II	4	0
BR0-040002-00695	I	II	5	1
BR0-040002-00696	I	II	5	1
BR0-040002-00697	I	II	5	1
BR0-040002-00698	II	II	4	0
BR0-040002-00698	II	II	5	0
BR0-040002-00699	II	III	4	1
BR0-040002-00700	II	III	4	1
BR0-040002-00710	II	II	5	0
BR0-040002-00711	II	III	5	1
BR0-040002-00712	II	III	5	1
BR0-040002-00714	II	III	4	1
BR0-040002-00716	I	II	5	1
BR0-040002-00717	III	III	4	0
BR0-040002-00719	II	II	5	0
BR0-040002-00720	III	III	4	0
BR0-040002-00723	I	III	18	2
BR0-040002-00723	II	III	4	1
BR0-040002-00726	I	II	26	1
BR0-040002-00726	I	II	1	1
BR0-040002-00726	II	II	1	0
BR0-040002-00726	I	II	1	1
BR0-040002-00726	II	II	1	0
BR0-040002-00730	I	II	27	1
BR0-040002-00730	II	II	5	0
BR0-040002-00731	III	III	4	0
BR0-040002-00732	I	II	30	1
BR0-040002-00732	II	II	5	0
BR0-040002-00737	II	II	5	0
BR0-040002-00742	I	II	5	1
BR0-040002-00742	II	II	5	0
BR0-040002-00745	II	II	5	0
BR0-040002-00747	II	II	5	0
BR0-040002-00748	II	II	4	0
BR0-040002-00748	II	II	1	0
BR0-040002-00749	II	II	4	0
BR0-040002-00751	II	II	4	0
BR0-040002-00758	II	II	5	0
BR0-040002-00762	I	II	5	1
BR0-040002-00764	I	I	24	0
BR0-040002-00764	I	II	5	1
BR0-040002-00767	II	III	4	1
BR0-040002-00771	II	III	5	1
BR0-040002-00773	II	II	5	0
BR0-040002-00777	I	II	1	1
BR0-040002-00777	II	II	1	0
BR0-040002-00777	I	II	1	1
BR0-040002-00777	II	II	1	0
BR0-040002-00778	II	III	4	1
BR0-040002-00779	II	II	5	0
BR0-040002-00780	II	II	4	0
BR0-040002-00784	II	II	5	0
BR0-040002-00790	II	II	4	0
BR0-040002-00792	II	II	5	0
BR0-040002-00795	II	II	4	0
BR0-040002-00795	II	II	1	0
BR0-040002-00796	II	II	1	0
BR0-040002-00796	II	II	3	0
BR0-040002-00796	II	II	2	0
BR0-040002-00797	II	II	4	0
BR0-040002-00798	II	II	4	0
BR0-040002-00798	II	II	5	0
BR0-040002-00801	II	III	5	1
BR0-040002-00802	II	III	4	1
BR0-040002-00809	I	II	5	1
BR0-040002-00809	II	II	1	0
BR0-040002-00809	II	III	1	1
BR0-040002-00809	I	II	2	1
BR0-040002-00809	II	II	1	0
BR0-040002-00809	I	III	1	2
BR0-040002-00809	II	II	2	0
BR0-040002-00810	I	II	5	1
BR0-040002-00810	II	II	1	0
BR0-040002-00810	II	III	1	1
BR0-040002-00810	I	II	2	1
BR0-040002-00810	II	II	1	0
BR0-040002-00810	I	III	1	2
BR0-040002-00810	II	II	2	0
BR0-040002-00812	II	II	5	0
BR0-040002-00813	II	II	5	0
BR0-040002-00817	I	I	4	0
BR0-040002-00820	II	II	5	0
BR0-040002-00824	II	II	5	0
BR0-040002-00827	II	II	4	0
BR0-040002-00832	II	III	4	1
BR0-040002-00833	III	III	4	0
BR0-040002-00834	II	III	3	1
BR0-040002-00834	III	III	2	0
BR0-040002-00836	III	III	4	0
BR0-040002-00848	II	II	4	0
BR0-040002-00848	II	II	1	0
BR0-040002-00851	I	I	5	0
BR0-040002-00852	II	II	5	0
BR0-040002-00853	II	II	5	0
BR0-040002-00856	II	II	4	0
BR0-040002-00858	II	II	4	0
BR0-040002-00859	II	II	4	0
BR0-040002-00862	I	I	1	0
BR0-040002-00862	I	I	4	0
BR0-040002-00862	I	I	1	0
BR0-040002-00863	I	I	22	0
BR0-040002-00863	I	II	5	1
BR0-040002-00864	II	II	4	0
BR0-040002-00866	I	II	30	1
BR0-040002-00866	II	II	4	0
BR0-040002-00866	II	II	5	0
BR0-040002-00867	I	I	5	0
BR0-040002-00869	II	II	5	0
BR0-040002-00870	I	I	5	0
BR0-040002-00873	I	I	26	0
BR0-040002-00873	I	II	2	1
BR0-040002-00873	II	II	2	0
BR0-040002-00873	I	II	4	1
BR0-040002-00874	I	II	5	1
BR0-040002-00874	II	II	5	0
BR0-040002-00876	II	II	5	0
BR0-040002-00876	II	II	5	0
BR0-040002-00877	I	II	5	1
BR0-040002-00877	II	II	5	0
BR0-040002-00878	II	II	4	0
BR0-040002-00881	I	III	12	2
BR0-040002-00881	III	III	5	0
BR0-040002-00881	III	III	5	0
BR0-040002-00882	II	III	2	1
BR0-040002-00884	I	I	5	0
BR0-040002-00887	I	II	5	1
BR0-040002-00889	I	II	4	1
BR0-040002-00889	II	II	5	0
BR0-040002-00890	II	II	5	0
BR0-040002-00891	I	II	5	1
BR0-040002-00892	I	I	5	0
BR0-040002-00893	I	II	5	1
BR0-040002-00896	I	II	9	1
BR0-040002-00896	II	II	1	0
BR0-040002-00896	I	II	1	1
BR0-040002-00896	II	II	3	0
BR0-040002-00896	II	II	1	0
BR0-040002-00896	II	II	1	0
BR0-040002-00899	II	II	5	0
BR0-040002-00903	I	II	5	1
BR0-040002-00904	II	II	5	0
BR0-040002-00910	II	III	2	1
BR0-040002-00910	III	III	5	0
BR0-040002-00918	II	III	4	1
BR0-040002-00918	III	III	5	0
BR0-040002-00923	I	I	8	0
BR0-040002-00923	I	I	5	0
BR0-040002-00925	II	II	5	0
BR0-040002-00928	II	II	5	0
BR0-040002-00929	I	I	5	0
BR0-040002-00934	II	II	1	0
BR0-040002-00934	II	II	4	0
BR0-040002-00934	II	II	5	0
BR0-040002-00935	III	III	4	0
BR0-040002-00936	III	III	4	0
BR0-040002-00937	II	II	2	0
BR0-040002-00937	II	II	3	0
BR0-040002-00938	II	II	4	0
BR0-040002-00939	II	III	4	1
BR0-040002-00940	III	III	4	0
BR0-040002-00941	II	II	1	0
BR0-040002-00941	II	III	1	1
BR0-040002-00941	II	III	1	1
BR0-040002-00944	II	II	5	0
BR0-040002-00948	II	III	4	1
BR0-040002-00949	I	II	7	1
BR0-040002-00949	II	II	4	0
BR0-040002-00949	II	II	5	0
BR0-040002-00950	I	II	19	1
BR0-040002-00950	II	II	5	0
BR0-040002-00951	II	III	2	1
BR0-040002-00951	II	III	2	1
BR0-040002-00953	III	III	5	0
BR0-040002-00954	II	III	1	1
BR0-040002-00954	II	III	2	1
BR0-040002-00955	II	III	5	1
BR0-040002-00956	II	II	5	0
BR0-040002-00957	II	II	4	0
BR0-040002-00957	II	III	5	1
BR0-040002-00959	II	II	5	0
BR0-040002-00961	II	II	5	0
BR0-040002-00962	I	II	5	1
BR0-040002-00970	I	II	9	1
BR0-040002-00970	II	II	4	0
BR0-040002-00970	II	II	5	0
BR0-040002-00987	I	II	22	1
BR0-040002-00987	II	II	1	0
BR0-040002-00987	II	II	2	0
BR0-040002-00987	II	II	2	0
BR0-040002-00987	II	II	3	0
BR0-040002-00989	II	II	5	0
BR0-040002-00992	II	II	5	0
BR0-040002-00994	II	II	4	0
BR0-040002-00995	I	I	5	0
BR0-040002-00996	II	II	1	0
BR0-040002-00996	II	II	4	0
BR0-040002-00996	II	II	1	0
BR0-040002-00998	I	II	21	1
BR0-040002-00998	II	III	1	1
BR0-040002-00998	II	II	1	0
BR0-040002-00998	II	III	2	1
BR0-040002-00998	II	III	1	1
BR0-040002-00999	II	II	5	0
BR0-040002-01000	I	II	9	1
BR0-040002-01000	II	II	1	0
BR0-040002-01000	II	II	2	0
BR0-040002-01000	II	II	1	0
BR0-040002-01000	II	II	4	0
BR0-040002-01000	II	II	1	0
BR0-040002-01007	II	II	2	0
BR0-040002-01007	II	II	3	0
BR0-040002-01007	II	II	2	0
BR0-040002-01009	I	II	6	1
BR0-040002-01009	II	II	5	0
BR0-040002-01012	II	II	5	0
BR0-040002-01013	I	II	4	1
BR0-040002-01013	II	II	5	0
BR0-040002-01014	II	II	4	0
BR0-040002-01014	II	II	5	0
BR0-040002-01022	II	II	4	0
BR0-040002-01022	II	II	5	0
BR0-040002-01023	II	III	5	1
BR0-040002-01024	II	II	4	0
BR0-040002-01024	II	II	5	0
BR0-040002-01025	II	II	3	0
BR0-040002-01025	II	II	1	0
BR0-040002-01025	II	II	1	0
BR0-040002-01025	II	II	1	0
BR0-040002-01025	II	II	3	0
BR0-040002-01026	II	II	5	0
BR0-040002-01037	II	II	5	0
BR0-040002-01038	II	II	5	0
BR0-040002-01042	I	I	5	0
BR0-040002-01043	II	II	5	0
BR0-040002-01051	II	II	5	0
BR0-040002-01053	II	II	5	0
BR0-040002-01057	II	II	1	0
BR0-040002-01057	II	II	3	0
BR0-040002-01057	II	II	2	0
BR0-040002-01057	II	II	3	0
BR0-040002-01058	II	II	5	0
BR0-040002-01061	II	II	5	0
BR0-040002-01063	II	II	4	0
BR0-040002-01063	II	II	5	0
BR0-040002-01064	II	II	1	0
BR0-040002-01064	II	II	3	0
BR0-040002-01064	II	III	2	1
BR0-040002-01066	III	III	5	0
BR0-040002-01067	II	III	4	1
BR0-040002-01068	II	II	5	0
BR0-040002-01069	II	II	5	0
BR0-040002-01072	II	II	1	0
BR0-040002-01072	II	II	3	0
