N,シミュレーション,解析解,絶対誤差,相対誤差(%)
198,0.947146,0.9512459744753798,-0.004099974475379797,-0.43287671334512284
199,0.948695,0.9530765912991026,-0.0043815912991026496,-0.46185457909050326
200,0.950609,0.9549043663683882,-0.0042953663683881205,-0.45185416594920946
201,0.952398,0.9567294939157106,-0.004331493915710638,-0.4547987202525245
202,0.954236,0.958552165069187,-0.004316165069186972,-0.45231631055493327
203,0.9561,0.9603725678751052,-0.004272567875105215,-0.446874581644725
204,0.957437,0.9621908873204691,-0.004753887320469108,-0.4965222067320469
205,0.96018,0.9640073053555646,-0.0038273053555645253,-0.3986029031602955
206,0.961354,0.9658220009165431,-0.004468000916543091,-0.4647612551196636
207,0.963274,0.9676351499480299,-0.004361149948029941,-0.4527424126499772
208,0.965175,0.9694469254257468,-0.004271925425746836,-0.4426063072237508
209,0.967526,0.9712574973791589,-0.003731497379158899,-0.3856741192648982
210,0.968285,0.9730670329141393,-0.004782032914139367,-0.49386625984491833
211,0.970938,0.974875696235652,-0.0039376962356519885,-0.40555588880566923
212,0.972456,0.9766836486704569,-0.004227648670456885,-0.4347393270705189
213,0.974266,0.9784910486898291,-0.004225048689829092,-0.433664798918272
214,0.975266,0.9802980519322996,-0.005032051932299608,-0.5159671240768784
215,0.977703,0.9821048112264098,-0.004401811226409813,-0.4502196706371785
216,0.979824,0.9839114766134855,-0.004087476613485519,-0.41716436967103465
217,0.981034,0.985718195370423,-0.004684195370423083,-0.4774753342313399
218,0.983614,0.9875251120324952,-0.003911112032495168,-0.3976267145948683
219,0.985304,0.9893323684161629,-0.004028368416162942,-0.4088452311330252
220,0.987049,0.9911401036419073,-0.0040911036419073454,-0.4144782722952301
221,0.988349,0.9929484541570692,-0.004599454157069194,-0.46536741141734284
222,0.990279,0.9947575537586985,-0.004478553758698434,-0.45225171478931026
223,0.99257,0.9965675336164157,-0.003997533616415749,-0.40274576265812484
224,0.993866,0.9983785222952783,-0.004512522295278321,-0.4540372942910131
225,0.995592,1.0001906457786554,-0.004598645778655319,-0.46190063586844
226,0.997356,1.0020040274911048,-0.0046480274911048225,-0.4660349455064012
227,0.999464,1.0038187883212597,-0.004354788321259684,-0.43571237395841006
228,1.00169,1.0056350466447086,-0.003945046644708627,-0.3938390764316932
229,1.003018,1.0074529183468859,-0.004434918346885919,-0.44215740364439315
230,1.005189,1.0092725168459518,-0.004083516845951651,-0.4062436861079509
231,1.006667,1.0110939531156773,-0.004426953115677312,-0.43976340892045857
232,1.008721,1.0129173357083217,-0.004196335708321675,-0.4160055861156528
233,1.01054,1.014742770777504,-0.0042027707775040835,-0.41589355963188823
234,1.012529,1.0165703621010682,-0.004041362101068202,-0.39913544215209656
235,1.014143,1.0184002111039359,-0.004257211103935843,-0.41978410381335207
236,1.015665,1.0202324168809538,-0.004567416880953745,-0.44969718174336465
237,1.018114,1.0220670762197208,-0.0039530762197208524,-0.388274419143716
238,1.019402,1.0239042836234107,-0.004502283623410763,-0.4416592888194023
239,1.021503,1.0257441313335622,-0.004241131333562187,-0.41518540166423273
240,1.022899,1.027586709352869,-0.004687709352868996,-0.45827685361594805
241,1.024622,1.0294321054679356,-0.004810105467935699,-0.4694517068670885
242,1.027418,1.0312804052720177,-0.003862405272017755,-0.37593319097171307
243,1.028878,1.0331316921877367,-0.004253692187736746,-0.4134301819784995
244,1.030472,1.0349860474897647,-0.004514047489764694,-0.43805629747966895
245,1.032149,1.0368435503274882,-0.004694550327488223,-0.4548326188843106
246,1.034718,1.0387042777476372,-0.003986277747637157,-0.38525257583584677
247,1.036136,1.0405683047168806,-0.0044323047168806085,-0.42777248516416844
248,1.037829,1.0424357041443917,-0.004606704144391793,-0.44387891881916897
249,1.039606,1.044306546904376,-0.004700546904375935,-0.45214695801831994
250,1.041237,1.0461809018585584,-0.004943901858558419,-0.4748104282270434
251,1.043003,1.0480588358786367,-0.005055835878636783,-0.48473838317212736
252,1.044884,1.0499404138686834,-0.005056413868683496,-0.48392107340944035
253,1.047874,1.0518256987875134,-0.003951698787513447,-0.37711583525437664
254,1.04931,1.0537147516709986,-0.00440475167099863,-0.41977601195057995
255,1.051181,1.0556076316543381,-0.004426631654338209,-0.42111031823617523
256,1.052277,1.0575043959942767,-0.005227395994276796,-0.4967699564161144
257,1.054685,1.0594051000912688,-0.004720100091268664,-0.44753647688823334
258,1.056628,1.0613097975115948,-0.004681797511594921,-0.4430885336745687
259,1.058162,1.0632185400094156,-0.005056540009415578,-0.4778606687270548
260,1.060143,1.0651313775487707,-0.004988377548770684,-0.4705381772808653
261,1.06229,1.067048358325515,-0.004758358325515077,-0.4479340223022976
262,1.064617,1.0689695287891974,-0.004352528789197452,-0.40883517633077926
263,1.065803,1.0708949336648705,-0.005091933664870485,-0.47775561383018106
264,1.06776,1.0728246159748378,-0.005064615974837761,-0.4743215680338054
265,1.069138,1.07475861706033,-0.005620617060330124,-0.5257148338502723
266,1.07173,1.076696976603117,-0.004966976603116846,-0.4634540978713711
267,1.072929,1.078639732647038,-0.00571073264703803,-0.5322563419422935
268,1.075021,1.0805869216194683,-0.005565921619468339,-0.5177500364614588
269,1.077683,1.0825385783527102,-0.004855578352710221,-0.4505572002815505
270,1.079031,1.0844947361052923,-0.005463736105292272,-0.5063558049112835
271,1.08054,1.0864554265832096,-0.005915426583209538,-0.5474509581514371
272,1.083457,1.088420679961069,-0.004963679961069056,-0.4581335448540234
273,1.084569,1.0903905249031551,-0.00582152490315524,-0.5367592936138909
274,1.087697,1.092364988584413,-0.004667988584413196,-0.4291625870452154
275,1.089037,1.0943440967113458,-0.005307096711345771,-0.48732014718928474
276,1.091392,1.096327873542817,-0.004935873542817104,-0.4522548765995265
277,1.092849,1.0983163419107709,-0.005467341910770918,-0.500283379567618
278,1.094781,1.1003095232408595,-0.005528523240859506,-0.5049889649947804
279,1.096236,1.1023074375729696,-0.0060714375729695735,-0.5538440238205617
280,1.098772,1.1043101035816647,-0.005538103581664622,-0.5040266389810281
281,1.101007,1.1063175385965236,-0.0053105385965235286,-0.4823346805718336
282,1.102304,1.108329758622382,-0.0060257586223819715,-0.546651252502211
283,1.104862,1.110346778359476,-0.005484778359476028,-0.49642202912907024
284,1.106599,1.112368611223482,-0.005769611223481963,-0.5213822914607696
285,1.1087,1.1143952693654549,-0.005695269365454836,-0.5136889479078953
286,1.111035,1.1164267636916616,-0.005391763691661611,-0.48529197474981534
287,1.112867,1.1184631038833097,-0.005596103883309667,-0.5028546882340537
288,1.114947,1.1205042984161626,-0.005557298416162704,-0.49843610648422787
289,1.116966,1.1225503545800581,-0.005584354580058237,-0.4999574364894041
290,1.119028,1.1246012784983004,-0.005573278498300471,-0.49804638474644713
291,1.120204,1.126657075146955,-0.006453075146954923,-0.5760624981659521
292,1.12314,1.1287177483740223,-0.005577748374022251,-0.4966209354151977
293,1.124489,1.1307833009184995,-0.006294300918499474,-0.5597476648059229
294,1.126524,1.1328537344293248,-0.006329734429324718,-0.5618818977069923
295,1.129153,1.1349290494842066,-0.0057760494842065135,-0.511538248953553
296,1.131095,1.1370092456083354,-0.005914245608335422,-0.5228778845574795
297,1.132409,1.1390943212929723,-0.006685321292972279,-0.5903627834971533
298,1.135569,1.1411842740139195,-0.00561527401391948,-0.49448990012227173
299,1.136731,1.1432791002498701,-0.006548100249870181,-0.5760465976444895
300,1.138392,1.14537879550063,-0.006986795500629972,-0.6137424982457687
301,1.140967,1.1474833543052227,-0.0065163543052226824,-0.5711255720123967
302,1.142609,1.149592770259864,-0.006983770259864075,-0.6112126072754613
303,1.145411,1.1517070360358088,-0.006296036035808861,-0.5496748360028724
304,1.147141,1.153826143397078,-0.006685143397078042,-0.5827656231516476
305,1.149155,1.1559500832180483,-0.006795083218048337,-0.5913112868193009
306,1.151283,1.1580788455009214,-0.0067958455009213825,-0.5902845348121516
307,1.153303,1.1602124193930556,-0.006909419393055671,-0.5990983629675525
308,1.155284,1.1623507932041695,-0.007066793204169475,-0.6116931597918326
309,1.156825,1.164493954423416,-0.007668954423416086,-0.662931249187741
310,1.159826,1.1666418897363189,-0.006815889736318859,-0.5876648511344683
311,1.162318,1.1687945850415775,-0.006476585041577554,-0.557212831736027
312,1.163762,1.1709520254677435,-0.007190025467743499,-0.6178261077216389
313,1.166099,1.1731141953897484,-0.007015195389748374,-0.6015951810050755
314,1.168381,1.1752810784453087,-0.0069000784453088215,-0.5905674985564489
315,1.170484,1.1774526575511886,-0.006968657551188473,-0.5953654685744079
316,1.171955,1.179628914919323,-0.0076739149193230105,-0.6547960390392985
317,1.174415,1.1818098320728117,-0.0073948320728116634,-0.6296609011986106
318,1.176685,1.183995389861761,-0.007310389861761024,-0.6212699118082601
319,1.178564,1.1861855684790004,-0.007621568479000418,-0.6466826136722672
320,1.180935,1.1883803474756527,-0.0074453474756526195,-0.6304620894166587
321,1.182447,1.19057970577656,-0.00813270577655989,-0.6877860721503704
322,1.184791,1.19278362169558,-0.007992621695580127,-0.6746018239149459
323,1.187854,1.1949920729507308,-0.007138072950730878,-0.6009217421274735
