N,L=1,L=3,L=5,L=7,L=10
63,0.7767808751742401,0.5500716325732409,0.5424619554748917,0.5423322869151875,0.5423311561956431
64,0.7891107303357362,0.5561520470760092,0.5481169721695155,0.5479754250016937,0.547974146822196
65,0.8014405854972321,0.5621788162509326,0.5537032699317221,0.553549001906813,0.5535475602037722
66,0.8137704406587277,0.568153025734624,0.5592217499254087,0.5590538769174749,0.5590522542195351
67,0.826100295820224,0.5740757454728159,0.5646733039415153,0.5644908988363884,0.5644890761713525
68,0.8384301509817197,0.5799480298056258,0.5700588145254438,0.569860906116529,0.5698588629142378
69,0.8507600061432157,0.5857709175568244,0.5753791551019201,0.5751647269940793,0.5751624409851815
70,0.8630898613047112,0.5915454321269206,0.5806351900973367,0.580403179619858,0.5804006267304042
71,0.8754197164662073,0.5972725815898764,0.5858277750596074,0.5855770721892334,0.5855742264310329
72,0.8877495716277032,0.6029533587932835,0.5909577567755738,0.590687203070552,0.5906840364272385
73,0.9000794267891989,0.60858874146182,0.596025973386,0.5957343609320963,0.5957308432408412
74,0.9124092819506948,0.6141796923038265,0.6010332544981896,0.6007193248675788,0.6007154236964057
75,0.9247391371121907,0.6197271591208384,0.6059804212962633,0.6056428645202011,0.6056385450408501
76,0.9370689922736866,0.6252320749199125,0.6108682866491385,0.6105057402052816,0.6105009650615802
77,0.9493988474351825,0.6306953580285999,0.6156976552162393,0.6153087030314724,0.6153034322031697
78,0.9617287025966784,0.6361179122124117,0.6204693235509837,0.6200524950205821,0.6200466856826087
79,0.9740585577581743,0.6415006267946366,0.6251840802020779,0.6247378492260095,0.6247314556031289
80,0.9863884129196702,0.6468443767783641,0.6298427058126633,0.6293654898498163,0.629358463066636
81,0.9987182680811659,0.6521500229705871,0.6344459732173446,0.6339361323584386,0.6339284202847518
82,1.0110481232426616,0.657418412108238,0.6389946475371431,0.6384504835970601,0.6384420306884989
83,1.0233779784041577,0.6626503769860432,0.6434894862724139,0.642909241902658,0.6428999890366299
84,1.0357078335656538,0.6678467365860611,0.6479312393937559,0.647313097215731,0.6473029815226314
85,1.04803768872715,0.6730082962087901,0.6523206494309627,0.6516627311907296,0.6516516858804082
86,1.0603675438886453,0.6781358476057262,0.6566584515600441,0.6559588173051932,0.6559467714886723
87,1.0726973990501412,0.6832301691132535,0.6609453736883587,0.6602020209676136,0.6601888994740482
88,1.0850272542116368,0.6882920257877684,0.6651821365378944,0.664392999624031,0.6643787228129119
89,1.0973571093731327,0.6933221695419174,0.6693694537267324,0.6685324028633819,0.6685168864319816
90,1.1096869645346283,0.6983213392818554,0.6735080318487315,0.6726208725216005,0.6726040273076682
91,1.1220168196961249,0.7032902610454214,0.6775985705514715,0.6766590427844964,0.6766407745642156
92,1.1343466748576203,0.7082296481411339,0.6816417626124881,0.6806475402894113,0.6806277495706249
93,1.1466765300191166,0.7131402012879157,0.6856382940138395,0.6845869842256734,0.6845655660364017
94,1.1590063851806127,0.7180226087554527,0.6895888440150338,0.6884779864338523,0.6884548301061196
95,1.1713362403421084,0.7228775465051068,0.6934940852243622,0.6923211515038322,0.69229614045283
96,1.1836660955036038,0.7277056783312906,0.6973546836686624,0.6961170768717136,0.6960900883703244
97,1.1959959506651003,0.732507656003229,0.7011712988615575,0.6998663529155486,0.6998372578642664
98,1.2083258058265962,0.7372841194070235,0.704944583870193,0.7035695630499277,0.7035382257422083
99,1.2206556609880919,0.7420356966879497,0.7086751853805199,0.7072272838194221,0.707193561702503
100,1.232985516149588,0.7467630043929067,0.7123637437611438,0.7108400849908982,0.710803828422131
101,1.245315371311084,0.7514666476129538,0.7160108931257829,0.7144085296447058,0.7143695816434457
102,1.2576452264725793,0.7561472201258673,0.7196172613943667,0.7179331742647607,0.7178913702598664
103,1.2699750816340751,0.7608053045386444,0.7231834703528001,0.7214145688275202,0.7213697364005148
104,1.2823049367955714,0.7654414724298969,0.7267101357114389,0.7248532568898727,0.7248052155138215
105,1.2946347919570678,0.7700562844920756,0.7301978671622948,0.7282497756759383,0.7281983364501076
106,1.3069646471185628,0.7746502906734613,0.7336472684350118,0.7316046561628038,0.731549621543159
107,1.3192945022800586,0.7792240303198651,0.7370589373516365,0.7349184231651897,0.7348595866908038
108,1.3316243574415543,0.783778032315995,0.740433465880222,0.7381915954190649,0.738128741434504
109,1.3439542126030508,0.7883128152264243,0.743771440187287,0.7414246856642162,0.7413575890379791
110,1.3562840677645465,0.7928288874361143,0.7470734406891665,0.7446182007257841,0.7445466265648657
111,1.3686139229260423,0.7973267472904524,0.7503400421022774,0.7477726415947671,0.7476963449554339
112,1.380943778087538,0.8018068832347468,0.7535718134923369,0.7508885035075158,0.750807229102367
